#,Traslape,Fp1,Fp2,F3,F4,P1,P2,O1,O2,Points,TP,FP,TN,FN,LOST,Fitness,Elapsed
22,0.3,111,124,129,0,120,119,110,0,713,10,0,305,9,0,0.6896551724137931,3:19:03.362936
15,0.3,125,132,126,0,127,141,113,0,764,11,1,304,8,0,0.7096774193548387,3:14:07.270628
1,0.3,134,121,122,0,0,0,0,128,505,11,0,305,8,0,0.7333333333333334,3:29:15.603731
6,0.3,118,107,0,0,0,0,115,135,475,11,0,305,8,0,0.7333333333333334,3:19:48.996826
11,0.85,129,133,0,0,0,0,0,0,262,14,1,1391,5,42,0.8235294117647058,4:04:06.298599
23,0.7,137,134,0,0,0,0,0,0,271,19,7,701,0,19,0.8444444444444443,4:00:13.675850
28,0.78,130,132,0,0,0,129,0,127,518,17,1,958,2,32,0.918918918918919,5:14:40.365906
27,0.89,132,132,129,0,0,136,0,117,646,18,1,1884,1,73,0.9473684210526316,6:13:31.707643
14,0.88,128,126,0,0,0,0,0,0,254,18,1,1763,1,68,0.9473684210526316,3:28:09.822779
25,0.89,0,111,129,0,0,0,0,0,240,18,1,1884,1,68,0.9473684210526316,4:49:39.647100
4,0.9,121,113,0,0,119,0,0,130,483,19,2,2111,0,99,0.95,4:46:24.931017
21,0.86,122,118,0,0,134,0,0,0,374,19,2,1507,0,64,0.95,6:16:44.095029
30,0.9,114,134,0,0,0,0,123,0,371,19,2,2111,0,97,0.95,6:35:27.677822
7,0.88,141,126,126,0,0,121,127,0,641,18,0,1764,1,70,0.972972972972973,3:42:49.224572
2,0.9,130,127,0,0,121,0,125,0,503,18,0,2113,1,87,0.972972972972973,5:40:19.376206
8,0.89,141,121,112,0,0,127,0,0,501,18,0,1885,1,78,0.972972972972973,6:19:45.013087
16,0.88,126,130,0,0,129,0,0,0,385,18,0,1764,1,68,0.972972972972973,6:19:31.151057
5,0.9,121,129,0,0,127,0,0,0,377,18,0,2113,1,80,0.972972972972973,4:53:31.265669
12,0.9,118,0,0,0,0,138,0,0,256,18,0,2113,1,85,0.972972972972973,5:57:42.654161
19,0.88,129,125,0,0,0,0,0,0,254,18,0,1764,1,64,0.972972972972973,6:07:55.397319
3,0.89,130,118,126,0,121,119,0,118,732,19,1,1884,0,83,0.9743589743589745,5:52:08.340862
10,0.88,129,128,0,135,0,0,0,0,392,19,1,1763,0,69,0.9743589743589745,6:36:44.868684
24,0.9,135,121,0,0,0,0,0,0,256,19,1,2112,0,84,0.9743589743589745,6:29:33.765005
20,0.9,120,124,0,0,0,0,0,0,244,19,1,2112,0,93,0.9743589743589745,6:52:04.600688
13,0.86,119,121,0,0,0,0,0,0,240,19,1,1508,0,64,0.9743589743589745,6:38:11.857871
17,0.9,133,119,139,0,0,126,0,134,651,19,0,2113,0,93,1.0,6:21:24.683741
29,0.9,123,130,124,120,110,0,0,0,607,19,0,2113,0,87,1.0,6:24:18.945807
9,0.9,141,130,0,0,0,130,131,0,532,19,0,2113,0,87,1.0,6:31:41.156955
26,0.9,144,129,0,0,0,0,112,128,513,19,0,2113,0,92,1.0,5:08:51.862849
18,0.9,119,118,0,0,0,129,0,0,366,19,0,2113,0,107,1.0,7:07:03.407641
31,0.89,128,121,0,0,0,0,0,0,249,19,0,1885,0,95,1.0,7:30:23.327513
